Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2015-08-16,13:42:11.140,-2,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:11.630,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:11.950,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:12.220,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:12.450,-2,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:12.680,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:12.910,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:13.150,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:13.380,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:13.650,-2,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:13.880,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:14.120,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:14.350,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:14.590,-2,0,4,1,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:14.840,-2,0,4,1,134,-205,3,20,57,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:15.100,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:15.360,-3,0,4,1,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:15.590,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:15.820,-2,0,4,0,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:16.050,-3,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:16.300,-2,0,4,0,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:16.540,-3,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:16.790,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:17.030,-2,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:17.230,-3,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:17.430,-3,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:17.630,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:42:17.830,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
